year,month,day,date
canh thìn,đinh hợi,mậu ngọ,27-Oct-00
canh thìn,đinh hợi,kỷ mùi,28-Oct-00
canh thìn,đinh hợi,canh thân,29-Oct-00
canh thìn,đinh hợi,tân dậu,30-Oct-00
canh thìn,đinh hợi,nhâm tuất,31-Oct-00
canh thìn,đinh hợi,quý hợi,1-Nov-00
canh thìn,đinh hợi,giáp tý,2-Nov-00
canh thìn,đinh hợi,ất sửu,3-Nov-00
canh thìn,đinh hợi,bính dần,4-Nov-00
canh thìn,đinh hợi,đinh mão,5-Nov-00
canh thìn,đinh hợi,mậu thìn,6-Nov-00
canh thìn,đinh hợi,kỷ tỵ,7-Nov-00
canh thìn,đinh hợi,canh ngọ,8-Nov-00
canh thìn,đinh hợi,tân mùi,9-Nov-00
canh thìn,đinh hợi,nhâm thân,10-Nov-00
canh thìn,đinh hợi,quý dậu,11-Nov-00
canh thìn,đinh hợi,giáp tuất,12-Nov-00
canh thìn,đinh hợi,ất hợi,13-Nov-00
canh thìn,đinh hợi,bính tý,14-Nov-00
canh thìn,đinh hợi,đinh sửu,15-Nov-00
canh thìn,đinh hợi,mậu dần,16-Nov-00
canh thìn,đinh hợi,kỷ mão,17-Nov-00
canh thìn,đinh hợi,canh thìn,18-Nov-00
canh thìn,đinh hợi,tân tỵ,19-Nov-00
canh thìn,đinh hợi,nhâm ngọ,20-Nov-00
canh thìn,đinh hợi,quý mùi,21-Nov-00
canh thìn,đinh hợi,giáp thân,22-Nov-00
canh thìn,đinh hợi,ất dậu,23-Nov-00
canh thìn,đinh hợi,bính tuất,24-Nov-00
canh thìn,đinh hợi,đinh hợi,25-Nov-00
canh thìn,mậu tý,mậu tý,26-Nov-00
canh thìn,mậu tý,kỷ sửu,27-Nov-00
canh thìn,mậu tý,canh dần,28-Nov-00
canh thìn,mậu tý,tân mão,29-Nov-00
canh thìn,mậu tý,nhâm thìn,30-Nov-00
canh thìn,mậu tý,quý tỵ,1-Dec-00
canh thìn,mậu tý,giáp ngọ,2-Dec-00
canh thìn,mậu tý,ất mùi,3-Dec-00
canh thìn,mậu tý,bính thân,4-Dec-00
canh thìn,mậu tý,đinh dậu,5-Dec-00
canh thìn,mậu tý,mậu tuất,6-Dec-00
canh thìn,mậu tý,kỷ hợi,7-Dec-00
canh thìn,mậu tý,canh tý,8-Dec-00
canh thìn,mậu tý,tân sửu,9-Dec-00
canh thìn,mậu tý,nhâm dần,10-Dec-00
canh thìn,mậu tý,quý mão,11-Dec-00
canh thìn,mậu tý,giáp thìn,12-Dec-00
canh thìn,mậu tý,ất tỵ,13-Dec-00
canh thìn,mậu tý,bính ngọ,14-Dec-00
canh thìn,mậu tý,đinh mùi,15-Dec-00
canh thìn,mậu tý,mậu thân,16-Dec-00
canh thìn,mậu tý,kỷ dậu,17-Dec-00
canh thìn,mậu tý,canh tuất,18-Dec-00
canh thìn,mậu tý,tân hợi,19-Dec-00
canh thìn,mậu tý,nhâm tý,20-Dec-00
canh thìn,mậu tý,quý sửu,21-Dec-00
canh thìn,mậu tý,giáp dần,22-Dec-00
canh thìn,mậu tý,ất mão,23-Dec-00
canh thìn,mậu tý,bính thìn,24-Dec-00
canh thìn,mậu tý,đinh tỵ,25-Dec-00
canh thìn,kỷ sửu,mậu ngọ,26-Dec-00
canh thìn,kỷ sửu,kỷ mùi,27-Dec-00
canh thìn,kỷ sửu,canh thân,28-Dec-00
canh thìn,kỷ sửu,tân dậu,29-Dec-00
canh thìn,kỷ sửu,nhâm tuất,30-Dec-00
canh thìn,kỷ sửu,quý hợi,31-Dec-00
canh thìn,kỷ sửu,giáp tý,1-Jan-01
canh thìn,kỷ sửu,ất sửu,2-Jan-01
canh thìn,kỷ sửu,bính dần,3-Jan-01
canh thìn,kỷ sửu,đinh mão,4-Jan-01
canh thìn,kỷ sửu,mậu thìn,5-Jan-01
canh thìn,kỷ sửu,kỷ tỵ,6-Jan-01
canh thìn,kỷ sửu,canh ngọ,7-Jan-01
canh thìn,kỷ sửu,tân mùi,8-Jan-01
canh thìn,kỷ sửu,nhâm thân,9-Jan-01
canh thìn,kỷ sửu,quý dậu,10-Jan-01
canh thìn,kỷ sửu,giáp tuất,11-Jan-01
canh thìn,kỷ sửu,ất hợi,12-Jan-01
canh thìn,kỷ sửu,bính tý,13-Jan-01
canh thìn,kỷ sửu,đinh sửu,14-Jan-01
canh thìn,kỷ sửu,mậu dần,15-Jan-01
canh thìn,kỷ sửu,kỷ mão,16-Jan-01
canh thìn,kỷ sửu,canh thìn,17-Jan-01
canh thìn,kỷ sửu,tân tỵ,18-Jan-01
canh thìn,kỷ sửu,nhâm ngọ,19-Jan-01
canh thìn,kỷ sửu,quý mùi,20-Jan-01
canh thìn,kỷ sửu,giáp thân,21-Jan-01
canh thìn,kỷ sửu,ất dậu,22-Jan-01
canh thìn,kỷ sửu,bính tuất,23-Jan-01
tân tỵ,canh dần,đinh hợi,24-Jan-01
tân tỵ,canh dần,mậu tý,25-Jan-01
tân tỵ,canh dần,kỷ sửu,26-Jan-01
tân tỵ,canh dần,canh dần,27-Jan-01
tân tỵ,canh dần,tân mão,28-Jan-01
tân tỵ,canh dần,nhâm thìn,29-Jan-01
tân tỵ,canh dần,quý tỵ,30-Jan-01
tân tỵ,canh dần,giáp ngọ,31-Jan-01
tân tỵ,canh dần,ất mùi,1-Feb-01
tân tỵ,canh dần,bính thân,2-Feb-01
tân tỵ,canh dần,đinh dậu,3-Feb-01
tân tỵ,canh dần,mậu tuất,4-Feb-01
tân tỵ,canh dần,kỷ hợi,5-Feb-01
tân tỵ,canh dần,canh tý,6-Feb-01
tân tỵ,canh dần,tân sửu,7-Feb-01
tân tỵ,canh dần,nhâm dần,8-Feb-01
tân tỵ,canh dần,quý mão,9-Feb-01
tân tỵ,canh dần,giáp thìn,10-Feb-01
tân tỵ,canh dần,ất tỵ,11-Feb-01
tân tỵ,canh dần,bính ngọ,12-Feb-01
tân tỵ,canh dần,đinh mùi,13-Feb-01
tân tỵ,canh dần,mậu thân,14-Feb-01
tân tỵ,canh dần,kỷ dậu,15-Feb-01
tân tỵ,canh dần,canh tuất,16-Feb-01
tân tỵ,canh dần,tân hợi,17-Feb-01
tân tỵ,canh dần,nhâm tý,18-Feb-01
tân tỵ,canh dần,quý sửu,19-Feb-01
tân tỵ,canh dần,giáp dần,20-Feb-01
tân tỵ,canh dần,ất mão,21-Feb-01
tân tỵ,canh dần,bính thìn,22-Feb-01
tân tỵ,tân mão,đinh tỵ,23-Feb-01
tân tỵ,tân mão,mậu ngọ,24-Feb-01
tân tỵ,tân mão,kỷ mùi,25-Feb-01
tân tỵ,tân mão,canh thân,26-Feb-01
tân tỵ,tân mão,tân dậu,27-Feb-01
tân tỵ,tân mão,nhâm tuất,28-Feb-01
tân tỵ,tân mão,quý hợi,1-Mar-01
tân tỵ,tân mão,giáp tý,2-Mar-01
tân tỵ,tân mão,ất sửu,3-Mar-01
tân tỵ,tân mão,bính dần,4-Mar-01
tân tỵ,tân mão,đinh mão,5-Mar-01
tân tỵ,tân mão,mậu thìn,6-Mar-01
tân tỵ,tân mão,kỷ tỵ,7-Mar-01
tân tỵ,tân mão,canh ngọ,8-Mar-01
tân tỵ,tân mão,tân mùi,9-Mar-01
tân tỵ,tân mão,nhâm thân,10-Mar-01
tân tỵ,tân mão,quý dậu,11-Mar-01
tân tỵ,tân mão,giáp tuất,12-Mar-01
tân tỵ,tân mão,ất hợi,13-Mar-01
tân tỵ,tân mão,bính tý,14-Mar-01
tân tỵ,tân mão,đinh sửu,15-Mar-01
tân tỵ,tân mão,mậu dần,16-Mar-01
tân tỵ,tân mão,kỷ mão,17-Mar-01
tân tỵ,tân mão,canh thìn,18-Mar-01
tân tỵ,tân mão,tân tỵ,19-Mar-01
tân tỵ,tân mão,nhâm ngọ,20-Mar-01
tân tỵ,tân mão,quý mùi,21-Mar-01
